Time point,Value
0,-33.726
1,-33.733
2,-33.742
3,-33.748
4,-33.752
5,-33.755
6,-33.758
7,-33.76
8,-33.761
9,-33.761
10,-33.761
11,-33.761
12,-33.76
13,-33.746
14,-33.731
15,-33.712
16,-33.696
17,-33.685
18,-33.678
19,-33.676
20,-33.676
21,-33.676
22,-33.665
23,-33.589
24,-33.424
25,-33.185
26,-32.774
27,-32.206
28,-31.47
29,-30.559
30,-29.46
31,-28.55
32,-27.1
33,-25.702
34,-23.909
35,-22.256
36,-20.524
37,-18.737
38,-16.923
39,-14.807
40,-13.023
41,-11.578
42,-9.917
43,-8.359
44,-6.926
45,-5.633
46,-4.493
47,-3.514
48,-2.688
49,-1.902
50,-1.446
51,-0.939
52,-0.567
53,-0.309
54,-0.144
55,-0.052
56,-0.011
57,0.0
