Time point,Value
0,204.68800000000002
1,204.94899999999998
2,205.618
3,206.24300000000002
4,206.882
5,207.372
6,207.864
7,208.286
8,208.503
9,208.60999999999999
10,208.52
11,192.53300000000002
12,221.916
13,241.369
14,247.98600000000002
15,244.089
16,238.947
17,230.563
18,219.047
19,216.423
20,216.54100000000003
21,207.079
22,213.155
23,224.728
24,228.446
25,232.37
26,236.37800000000001
27,242.642
28,247.477
29,252.814
30,258.637
31,263.031
32,268.243
33,270.853
34,272.99899999999997
35,272.767
36,271.11
37,266.87699999999995
38,262.934
39,255.91599999999997
40,248.057
41,242.165
42,234.411
43,227.12199999999999
44,221.23000000000002
45,214.794
46,210.356
47,205.893
48,202.436
49,200.369
50,198.59199999999998
51,197.08100000000002
52,196.412
53,195.66400000000002
54,195.094
55,194.765
56,194.59699999999998
57,194.542
